english,pos,lang1,lang2,lang3,lang4,lang5,lang6,lang7
student,NN,dóruma,þàdórúmàdórúmàgù,þàdrúmã̀drúmã̀go,ðdórúmã̀dórúmã,Zdórumàdóruma,þadórumãdórumãgo,ngdórúmõ̀dórúmõ̀gòòg
language,NN,lóruma,,Lórúmã̀dãã,lórúmã,lóruma,lórumã,
to create,VB,góruamu,úgórúàmúgùmù,úgórúàmṹmṹ,àgórúwàmṹzúzúmṹ,ugóruwàmugomo,ugóruamũzuzumũ,úgórúòmṹmṹ
now,RB,hére,hérímíní,hére,,hére,,hérì
to test,VB,zúruma,,,,dngúrumàgo,,
world,NN,mógo,Mógùgù,mṍgonṹ,Mṍgùspórúmṹ,mógogo,mṍgonũ,mṍgùnṹ
linguistics,NN,líneni,líínìnílí,líínẽnĩ́lí,,,,
to welcome,VB,árama,íàràmàmí,íàràmã̀lí,,iyàràmàmi,angaramãmĩ,íèrèmẽ̀mĩ
this,DT,kogo,Kùgù,Kogo,Kùgù,Kogo,kogo,Kùgù
documentation,NN,dénili,þàdénílí,þàdénĩ́lí,ðdénĩ́lí,ngdénilili,,ngdénĩ́lí
to be,VB,sami,,,,,,
to learn,VB,sérimi,íhérímídérímíqgìmì,ízérímĩ́dérímĩ́gemẽ,ízérímĩ́dérímĩ́mĩ,ingérimidérimimili,izérimĩdérimĩmĩ,íngérímĩ́dérímĩ́mĩ́lí
together,RB,tírimi,tíírímí,tíírímĩ,tíírímĩ,tírimi,tírimĩ,tíírímĩ
to speak,VB,tálimi,ídàlímímí,Idàlímĩ́nẽ,ídàlímĩ́mĩ,idàlimimi,,ídèlímĩ́mĩ
long,RB,lóruma,lórúmàgà,lórúmãã,Lórúmã,Lóruma,,
to reflect/to figure out,VB,sérali,,ízéràlímĩ,ízéràlímĩ,ingéràlimi,izéralimĩ,nẽ́rílí
while,IN,hére,héré,héré,héré,Hére,Hére,Hérì
to build,VB,fírimi,ígíírímímí,ívíírímĩ́mĩ,ígíírímĩ́mĩ,igírimimi,ivírimĩmĩ,ívíírímĩ́mĩ́lí
to ensure,VB,sérimi,íqgérímímí,ízérímĩ́mĩ,ízérímĩ́mĩ,ingérimingingimi,izérimĩmĩ,íngérímĩ́dérímĩ́lí
expressive,JJ,xérali,xéràlí,,Xéràlí,xéràli,,
to hide,VB,púruma,úbúúrúmàmí,úbúúrúmṹzúmm,ípúúrúmã,úurumàmu,ubúrumũmũ,
room,NN,spíra,íàràmàmí,íàràmã̀lí,,,spíranĩ,hpíírènĩ
to grow,VB,dárimi,ídàrímíngímí,ídàrímĩ́mĩ,ídàrímĩ́zúmĩ,idàrimimi,idarimĩmĩ,ídèrímĩ́gìmĩ
also,CONJ,tírimi,,tíírímĩ,,tírimi,,
if,CONJ,héré,Héré,Héré,Héré,Héré,héré,Héré
calculation,NN,kérim,,kérím,kérím,,qérimĩnĩ,Kérímĩ̀shdérímõ̀gòòg
to hit,VB,tórumo,údórúmúmú,údrúmṹmmõ,údórúmũ̀dórúmã̀mṹ,udórumodórumàmu,udórumõdórumãmũ,útórúmũ̀dórúmõ̀mṹ
sentence,NN,sómut,hómúthómút,,,,,
to see,VB,vérima,ígérídérímímí,ívérímã̀mĩ,ígérímã̀zízímĩ,àgérimàmi,ivérimãzibimẽ,ívérímẽ̀mĩ
serious,JJ,xórumo,,xórúmõ,Xórúmũ̀ghórúmũ,,xórumõ,xórúmũ
stuff,NN,spórum,hpórúmú,,,,,
friend,NN,géri,þàqgéríqgì,þàgérígérí,,ngqgériqgéri,þagérigéri,nggérígérí
excited,JJ,férila,,férílãã,,,,
to share,VB,dérimi,ídérímímí,ídérímĩ́gemẽ,,idérimi,,
day,NN,sélimi,hélímí,sélímĩ́nĩ,sélímĩ,hélimini,sélimĩ,hélímĩ́nṹ
daily,JJ,sélimili,,,,hélimili,,
class,NN,déni,þàdénídénílí,þàdénĩ́dénĩ,ðdénĩ́dénĩ́lí,ngdéni,dzérenĩ,ngdénĩ
frame,NN,súzu,,,,,súzu,
to endure,VB,nérimi,ínérímímí,ínẽ́rímĩ́mĩ,ínẽ́rímĩ́mĩ,,,
to finish,VB,dérimi,ídérímímí,ídérímĩ́mĩ,ídérímĩ́dérímĩ́mĩ,,idérimĩdérimĩmẽ,ídérímĩ
many,DT,zéreni,ngérìní,tàzérenĩ,dzérìnĩ,dngéreni,dzérenĩ,ngérìnĩ
coffee,NN,kávuru,kàvúrú,kàvúrú,kàvúrú,kàvuru,kavuru,kòvúrú
to need,VB,dézimi,ídéngímímí,ídézímĩ́mĩ,ídézímĩ́mĩ,idéngimimi,idézimĩmĩ,ídèlímĩ́mĩ
field,NN,xóronu,xórùnúnú,xóronṹnṹ,xórùnṹnṹ,xóronunu,xóronũnũ,xórùnṹnṹ
computer,NN,kómuru,kómúrúnú,Kómṹrúgómṹrú,,kómuru,kómũrugómũru,kómṹrú
tool,NN,tógoru,tógùrúlú,tógorú,tógùrú,tógoru,tógoru,tógùrú
important,JJ,zórumalu,,tàzórúmã̀lú,dzórúmã̀lú,dngórumàlu,dzórumãlu,ngórúmõ̀lú
new,JJ,nérili,nérílí,nẽ́rílí,nẽ́rílí,nérili,nẽ́rilu,nẽ́rílí
data,JJ,téreni,térìní,térenĩ,térìnĩ́lí,téreni,térenĩ,térìnĩ
to want,VB,vézimi,ígéngímímí,ívézímĩ́mĩ,ígézímĩ́mĩ,igéngimimi,ivézimĩmĩ,ívéngímĩ́mĩ
school,NN,dénimi,,þàdénĩ́mĩ́nĩ,ðdénĩ́mĩ,,þadénĩmĩli,
project,VB,gérimi,Þàqgérímí,þàgérímĩ,ðqgérímĩ,ngqgérimi,,nggérímĩ
very,RB,zúra,ngúúràgà,tàzúúrãã,dzúúrã,dngúra,dzúrã,
kind,JJ,sólurulu,,,sólúrúlú,hóluruhólurulu,sólurulu,hórúlúnṹ
classroom,NN,kórumu,kórúmúnú,Kórúmṹnṹ,,kórumu,Kórumũnũ,kórúmṹnṹ
astronomer,NN,fálurunadóruma,Fàlúrúnàdórúmàgùùg,Fàlúrúnã̀drúmã̀gook,fàlúrúnã̀dórúmã,Fàlurunàdórumàgo,falurunãdórumã,
snack,NN,sánomu,hànùmú,sànõmṹ,sànĩ́mṹnã̀rú,hànomu,,hònũ̀mṹ
notebook,NN,nóduru,nótúrú,nṍdúrú,,,nṍduru-li,nṍdúrú
helpful,JJ,hólurulu,,hólúrúlú,,hólurulu,hólurulu,
story,NN,sórumu,hólúnúngórúmúlú,sórúmṹ,sólúnṹzórúmṹ,Aàrumàlu,sórumũ,mõ̀yshórúmṹ
karaoke,NN,kánara,,,kànã̀ràlú,kànàràlu,kanãralu,kònõ̀ròlú
to go,VB,bóromu,þàbórùmúmú,àbóromṹmṹ,ðbórùmṹzúbúmĩ,ngbóromumu,þabóromũlu,úbórùmṹmṹ
to enjoy/like,VB,fálumu,fàlúmúnù,úvàlúmṹmṹ,úfàlúmṹmṹ,uvàlumu,ufalumũmũ,úfòlúmṹmṹ
laptop,NN,míniri,,,,míniriqge,mĩ́nĩri,Mĩ́ĩ́nĩ́rí
to use,VB,tórumu,tógùrúlú,údrúmṹmṹgo,údórúmṹmṹ,àlóngumu,idórumũmũ,údórúmṹmṹ
bed,NN,súmuru,húúmúrúnú,súúmṹrúnṹ,lúúmṹràlú,húmurumúrunu,súmũrunũ,
to charge,VB,lúzumu,lúúngúmínìmí,lúúzúmṹ,,lúngumu,lúzumũmũ,
free,JJ,múranulu,,mṹṹrànṹlú,,,mṹranũlu,mṹṹrònṹlú
event,NN,fóruma,,fórúmã̀vórúmã̀lú,,,,fórúmõ̀lú
cherry,NN,sakúra,,Sàgúúrãã,sàgúúrã,hàgúra,,
flower,NN,kírimi,,kíírímĩ,kíírímĩ,qírimili,kélirivérizi,qíírímĩ́gíírímĩ
beautiful,JJ,lúmuralu,lúúmúràlú,lúúmṹràlú,lúúmṹràlú,lúmuràlu,lúmũralu,lúúmṹròlú
quick,JJ,fúdurulu,fúúdúrúlú,fúdúbóromṹmṹ,Fúúdúrúlú,fúdurulu,fúdurulu,
brown,JJ,bórunulu,,,ðbórúnṹlú,,,
fox,NN,vúlumu,bbúúlúmúbúúlúmú,,bvúúlúmṹ,,tabúlumũ,vvúúlúmṹ
lazy,JJ,nólumulu,nólúmúlú,,nṍlúmṹlú,nólumulu,nṍlumũlu,nṍlúmṹlú
dog,NN,bárumu,Þàbàrúmúgù,,ðbàrúmṹgù,,Pobarumũbo,
to jump,VB,púrumu,,,àvúúrúmṹvàrúmṹmṹ,,Pobarumũbo,
to pass,VB,fárumu,,,fàrúmṹdàrúmṹmṹ,,,
to miss/to lack,VB,dólumu,,sórúmṹ,ðdólúmṹgùmũ,ngdólumulu,udólumũmũ,òdòrúmṹmṹ
to end,VB,nérimi,nérímíqgì,ínẽ́rímĩ́mĩ,nẽ́rímĩ,unórumugomo,inẽ́rimĩgemẽ,únṍrúmṹgùmũ
to celebrate,VB,férimi,ígérímíqgìmì,ívérímĩ́gemẽ,ígérímĩ́qgìmĩ,igérimiqgeme,avérimĩgemẽ,ívérímĩ́gìmĩ
Vancouver,NN,Vánukuva,,tàvànṹgúvànṹ,bvànṹgúvã,bvànuguvànu,bvanũguvanũ,vvònṹgúvòlú
spring,NN,vóruma,vvórúmànú,tàvórúmã̀nṹ,bvórúmã̀nṹ,bvórumàlú,bvórumãnũ,vvórúmõ̀nṹ
final,JJ,nérimili,,nẽ́rímĩ́lí,nẽ́rímĩ́lí,,nẽ́rili,nẽ́rímĩ́lí
to look forward to,VB,límiri,ílíímírímí,ílíímĩ́rímĩ,ílíímĩ́rímĩ,ilímirimi,ilímĩrimĩ,ílíímĩ́rímĩ
week,NN,zómuru,,,dzómṹrúgùlú,,dzamĩrizélimĩnĩ,ngómṹrúgùlú
quiz,NN,tórunu,,trúnṹdrúnṹ,tórúnṹdórúnṹ,,tórunũ,
grateful,JJ,górumula,,,ðgórúmṹlã,,,nggórúmõ̀lòngò
library,NN,pánuru,pànúrúnú,pànṹrúnṹ,pànṹrúlúlú,Pànuruli,panũrunũ,pònṹrúnṹ
dictionary,NN,móluru,mólúrú,mṍlúrú,mṍlúrú,,,
song,NN,mánaru,mànàrú,mã̀nã̀rú,mã̀nã̀rúmã̀nã̀rú,mànàrumànàru,mãnãrumãnãru,mõ̀nõ̀rú
poem,NN,rélama,,,,rélàmàqgà,rélamãrélamã,rélúmṹ
to help,VB,gérimi,,ízàmĩ́mĩ,àqgérímĩ́mĩ,àqgérimimi,agérimĩmĩ,ègérímĩ́mĩ
rule,NN,sélima,hélímàqngà,,,,,hélímẽ̀hélímẽ̀ngè
bilingual,JJ,polórumalu,,,,,,
to refuse,VB,názimi,,,ínã̀zímĩ́nĩ,,inãzimĩmĩ,
to burn,VB,xázimi,,,,,,
ring/circle,NN,kólo,kólù,kólo,kólù,kólo,kólogólo,kólù
offer,NN,bórumu,,,ðbórúmṹ,,,
and,CONJ,hére,hérì,hére,hérì,hére,hére,hérì
what,WH,lízera,xélírí,,,,,
true,JJ,xéliri,xélírí,xélírínẽ,xélírí,,,xélírí
point of view,NN,vérizi,xélírí,sérímĩ,térìnĩ,,bvarigadi,
museum,NN,donubánu,þàdùnúbànúlú,þàdonṹbànṹnṹ,,,þadonũbanũ,ngdùnṹbònṹnṹ
eye,NN,múru,múúrúdàgù,,mṹṹrúnṹ,Tàmomúrudogo,mṹrudógorugo,pùmṹṹrúdù
lifeless,JJ,múranulu,,,mṹṹrànṹlú,,,
black,JJ,bóhrunu,,Þàbóhrúnṹ,Ðbóħrúnṹvàrímĩ́lí,ngbóħrunulu,þabóħrunũ,ngbóħrúnṹ
doll,NN,sóluma,,,sólúmã,,,
like,ADP,tírimi,fàlúmúnù,tàvérízínĩ,tíírímĩ,,Tímẽ,ívíírímĩ́mĩ́lí
frankly,RB,xérali,,Xéràlí,,Xéràli,,Xérèlí
beloved,NN,férigéri,,,,kériqgéri,,
damn,NN,kérim,,,,qérimoshtórumodóruma,,
to give,VB,tórumu,tórúmúbú,údrúmõzúbúmṹ,údórúmṹzúbúmṹ,udórumomu,,údórúmũ̀mṹ
to blow,VB,périmi,íbérímídérímímí,,,,,
home,NN,súmura,húúmúràlú,,,dngúràgúra,súmũralu,
to look,VB,vérima,ílíímírímí,ívérímã̀mĩ,ígérímã̀zízímĩ,igérimàngimi,amẽ́rimĩ,vvèrínĩ
kid/child,NN,dórumu,þàdórúmú,þàdrúmṹlú,ðdórúmṹ,ngdórumu,þadórumũ,ngdórúmṹ
question,NN,sélima,hélímàqngà,,,,,
uh,UH,glé,,,,,,
scholar,NN,zúradóruma,ngúúràdórúmàgù,Pozúúràdrúmã̀õ,dzúúràdórúmã̀gù,Pongúràdórumàwo,dzúradórumãgo,ngúúròdórúmõ̀gòòg
to be able to,MD,fárumu,,,,,,
to stop,VB,nérimi,,nẽ́rímĩ,,,,
should,MD,dézimi,,ídézímĩ́mĩ,,,þadézimĩ,ngdéngímĩ
vestal,NN,nérimidérima,,,,,,Nẽ́rímĩ́dérímẽ̀ngè
pure,JJ,múranuzómut,,,,,,mṹṹrònṹngómṹdù
fate,NN,sélimi,hélímílí,,,,sélimĩ,
happy,JJ,férimala,àgérímàlàngímí,férímã̀lãã,férímã̀làqgà,àgérimàlàngimi,,kérímẽ̀lèngè
