english,pos,proto_form,confidence,n_cognates,lang1,lang2,lang3,lang4,lang5,lang6,lang7
student,NN,*dóruma,high,6,dóruma,þàdórúmàdórúmàgù,þàdrúmã̀drúmã̀go,ðdórúmã̀dórúmã,Zdórumàdóruma,þadórumãdórumãgo,ngdórúmõ̀dórúmõ̀gòòg
language,NN,*lóruma,high,4,lóruma,,Lórúmã̀dãã,lórúmã,lóruma,lórumã,
to create,VB,*góruamu,high,6,góruamu,úgórúàmúgùmù,úgórúàmṹmṹ,àgórúwàmṹzúzúmṹ,ugóruwàmugomo,ugóruamũzuzumũ,úgórúòmṹmṹ
now,RB,*hére,high,4,hére,hérímíní,hére,,hére,,hérì
to test,VB,*zúruma,low,1,zúruma,,,,dngúrumàgo,,
world,NN,*mógo,high,6,mógo,Mógùgù,mṍgonṹ,Mṍgùspórúmṹ,mógogo,mṍgonũ,mṍgùnṹ
linguistics,NN,*líneni,medium,2,líneni,líínìnílí,líínẽnĩ́lí,,,,
to welcome,VB,*árama,high,5,árama,íàràmàmí,íàràmã̀lí,,iyàràmàmi,angaramãmĩ,íèrèmẽ̀mĩ
this,DT,*kogo,high,6,kogo,Kùgù,Kogo,Kùgù,Kogo,kogo,Kùgù
documentation,NN,*dénili,high,5,dénili,þàdénílí,þàdénĩ́lí,ðdénĩ́lí,ngdénilili,,ngdénĩ́lí
to be,VB,*sami,low,0,sami,,,,,,
to learn,VB,*sérimi,high,6,sérimi,íhérímídérímíqgìmì,ízérímĩ́dérímĩ́gemẽ,ízérímĩ́dérímĩ́mĩ,ingérimidérimimili,izérimĩdérimĩmĩ,íngérímĩ́dérímĩ́mĩ́lí
together,RB,*tírimi,high,6,tírimi,tíírímí,tíírímĩ,tíírímĩ,tírimi,tírimĩ,tíírímĩ
to speak,VB,*tálimi,high,5,tálimi,ídàlímímí,Idàlímĩ́nẽ,ídàlímĩ́mĩ,idàlimimi,,ídèlímĩ́mĩ
long,RB,*lóruma,high,4,lóruma,lórúmàgà,lórúmãã,Lórúmã,Lóruma,,
to reflect/to figure out,VB,*sérali,high,5,sérali,,ízéràlímĩ,ízéràlímĩ,ingéràlimi,izéralimĩ,nẽ́rílí
while,IN,*hére,high,6,hére,héré,héré,héré,Hére,Hére,Hérì
to build,VB,*fírimi,high,6,fírimi,ígíírímímí,ívíírímĩ́mĩ,ígíírímĩ́mĩ,igírimimi,ivírimĩmĩ,ívíírímĩ́mĩ́lí
