english,native_form,compound_explanation,pos
student,dóruma,,NN
language,lóruma,,NN
to create,góruamu,,VB
now,hére,,RB
to test,zúruma,,VB
world,mógo,,NN
linguistics,líneni,,NN
to welcome,árama,,VB
this,kogo,,DT
documentation,dénili,,NN
to be,sami,,VB
to learn,sérimi,,VB
together,tírimi,,RB
to speak,tálimi,,VB
long,lóruma,,RB
to reflect/to figure out,sérali,,VB
while,hére,,IN
to build,fírimi,,VB
to ensure,sérimi,,VB
expressive,xérali,,JJ
to hide,púruma,,VB
room,spíra,,NN
to grow,dárimi,,VB
also,tírimi,,CONJ
if,héré,,CONJ
calculation,kérim,,NN
to hit,tórumo,,VB
sentence,sómut,,NN
to see,vérima,,VB
serious,xórumo,,JJ
stuff,spórum,,NN
friend,géri,,NN
excited,férila,,JJ
to share,dérimi,,VB
day,sélimi,,NN
daily,sélimili,,JJ
class,déni,,NN
frame,súzu,,NN
to endure,nérimi,,VB
to finish,dérimi,,VB
many,zéreni,,DT
coffee,kávuru,,NN
to need,dézimi,,VB
field,xóronu,,NN
computer,kómuru,,NN
tool,tógoru,,NN
important,zórumalu,,JJ
new,nérili,,JJ
data,téreni,,JJ
to want,vézimi,,VB
school,dénimi,,NN
project,gérimi,,VB
very,zúra,,RB
kind,sólurulu,,JJ
classroom,kórumu,,NN
astronomer,fálurunadóruma,star-scholar,NN
snack,sánomu,,NN
notebook,nóduru,,NN
helpful,hólurulu,,JJ
story,sórumu,,NN
karaoke,kánara,,NN
to go,bóromu,,VB
to enjoy/like,fálumu,,VB
laptop,míniri,,NN
to use,tórumu,,VB
bed,súmuru,,NN
to charge,lúzumu,,VB
free,múranulu,,JJ
event,fóruma,,NN
cherry,sakúra,,NN
flower,kírimi,,NN
beautiful,lúmuralu,,JJ
quick,fúdurulu,,JJ
brown,bórunulu,,JJ
fox,vúlumu,,NN
lazy,nólumulu,,JJ
dog,bárumu,,NN
to jump,púrumu,,VB
to pass,fárumu,,VB
to miss/to lack,dólumu,,VB
to end,nérimi,,VB
to celebrate,férimi,,VB
Vancouver,Vánukuva,,NN
spring,vóruma,,NN
final,nérimili,,JJ
to look forward to,límiri,,VB
week,zómuru,,NN
quiz,tórunu,,NN
grateful,górumula,,JJ
library,pánuru,,NN
dictionary,móluru,,NN
song,mánaru,,NN
poem,rélama,,NN
to help,gérimi,,VB
rule,sélima,,NN
bilingual,polórumalu,,JJ
to refuse,názimi,,VB
to burn,xázimi,,VB
ring/circle,kólo,,NN
offer,bórumu,,NN
and,hére,,CONJ
what,lízera,,WH
true,xéliri,,JJ
point of view,vérizi,,NN
museum,donubánu,,NN
eye,múru,,NN
lifeless,múranulu,,JJ
black,bóhrunu,,JJ
doll,sóluma,,NN
like,tírimi,,ADP
frankly,xérali,,RB
beloved,férigéri,,NN
damn,kérim,,NN
to give,tórumu,,VB
to blow,périmi,,VB
home,súmura,,NN
to look,vérima,,VB
kid/child,dórumu,,NN
question,sélima,,NN
uh,glé,,UH
scholar,zúradóruma,,NN
to be able to,fárumu,,MD
