language,sentence_id,surface,segmented,gloss,translation
lang1,1,"﻿CL dórumadórumagoo lóruma góruamumu, hére zúrumago lóruma.","CL dóruma-dóruma-ko-o lóruma gó-ru-a-mu-mu, hére zú-ru-ma-go lóruma","CL student-PL-DEF-ERG language create-WIT, now test-FUT language",The CL students have created a language; it's now time to test it.
lang1,2,Mógogo línenili Aarumalu nie iáramami.,mógo-ko líneni-li Aaruma-lu-ru ni-ERG i-árama-mi,world-DEF.NEAR linguistics-ELAT Aaruma-ELAT-ILL 1SG-ERG INAN-welcome-WIT,(I) welcome (you) into the world of Aaruma linguistics.
lang1,3,Kogo dénilili hírinili Aarumalu izamimi.,ko-ko dénili-li hírini-li Aaruma-lu i-sami-mi,this documentation-ELAT history-ELAT Aaruma-ELAT INAN-be-WIT,This is the documentation of the history of Aaruma.
lang1,4,Ni tegee izérimimi kege lórumalu tírimi.,ni te-ke-ERG i-sérimi-mi ke-ke lóruma-li tírimi,1PL.INCL-PL.SUBJ-ERG INAN-learn-WIT this-ELAT language-ELAT together,Let us learn this language together.
lang1,5,Idálimine lízerani lórumamu hére izéralimi lóruma lóruma idálimimi.,i-tálimi-ne lízera-ni lóruma-mi hére i-sérali-mi lóruma lóruma i-tálimi-mi,INAN-speak-NEG OBJ-NEG long-WIT but INAN-reflect-WIT language language INAN-speak-WIT,"The language has not been spoken long, but it is reflective of languages that have."
lang1,6,"Hére ni tegee ivírimimi kege lórumalu, ni tegee izérimimi xérali lóruma, tírimi idárimi spírali.","hére ni te-ke-ERG i-fírimi-mi ke-ke lóruma-li, ni te-ke-ERG i-sérimi-mi xérali lóruma, tírimi i-dárimi spírali",while 1PL.INCL-PL.SUBJ-ERG INAN-build-WIT this-ELAT language 1PL.INCL-PL.SUBJ-ERG INAN-ensure-WIT expressive language also INAN-grow room-ELAT,"As we build this language, let us ensure that it is expressive, while also having room to grow."
lang1,7,"Héré nili kérima xéral izamimi, hére kogo lórumao tórumogo várigádingéréá sómudo, tilie vérimage xórumo spórumo","héré ni-li ké-rim-a xé-ral i-sam-i-mi, hére ko-ko ló-rum-o-ERG vóru-kádi-héré-ú só-mu-t, ti-li-ERG vé-ri-ma-ke xó-rum-o spó-rum-o","if 1SG-POSS calculation-NOM correct-ADJ INAN-be-EVID, when this language-NOM hit-FUT 88 sentence-NOM, 2SG-ERG see-FUT serious stuff-NOM","If my calculations are correct, when this language hits 88 sentences, you’re gonna see some serious shit."
lang1,8,CL dórumadórumagoo tegee gérigéri véri kogoo lóruma férila idérimigeme.,CL dóruma-dóruma-ko-ERG te-ke-ERG géri-géri véri ko-ko-o lóruma féri-la i-dérimi-ke-me,CL student-PL-DEF-ERG PL.SUBJ-ERG friend-PL BEN this-DEF.NEAR language excited-ADJ INAN-share-FUT-DIR.EVID,The CL students are excited to share this language with their friends.
lang1,9,"Teli sélimi dénidénideli inérimidérimigeme, zéreni dórumadórumagoo tegee kávuru idézimimi.","teli sélimi déni-déni-te-li i-nérimi-dérimi-ge-me, zéreni dóruma-dóruma-ko-ERG te-ke-ERG kávuru i-dézimi-mi","1PL.POSS day class-PL-1PL.POSS-ELAT INAN-endure-finish-FUT-INFER.EVID, many student-PL-DEF-ERG PL.SUBJ-ERG coffee INAN-need-WIT",Many of the students need coffee to get through our day of classes.
lang1,10,Sérimili teli xóronunu kómurugómuru ko tege zórumalu tógoru izamimi.,sérimi-li teli xóronu-nu kómuru-gómuru ko te-ke zóruma-lu tógoru i-sami-mi,study-ELAT 1PL.POSS field-INESS computer-PL 3PL.INAN PL.SUBJ important-ADJ tool INAN-be-WIT,Computers are an important tool in our field of study.
lang1,11,"Lórumada idárimigeme, ni tegee nérili téreni Aaruma ugóruamugomo ivézimimi há!","lóruma-ta i-dárimi-ke-me, ni te-ke-ERG nérili téreni Aaruma i-góruamu-ke-me i-vézimi-mi há","language-1PL.POSS INAN-grow-FUT-INFER, 1PL.INCL PL.SUBJ-ERG new-ADJ data Aaruma INAN-create-FUT-DIR INAN-want-WIT MIR",We want to create new Aaruma data to grow our language!
lang1,12,"Tímee géni teli dénimi véreni ni agérimimi, hére kogo zúra sólurulu izamimi.","tíme-ERG géni teli dénimi véreni ni a-gérimi-mi, hére ko-ko zúra sóluru-lu i-sami-mi","2SG.FORMAL-ERG INSTR 1PL.POSS school project 1PL.INCL ANIM-help-WIT, and this very kind-ADJ INAN-be-WIT","You are helping us with our school project, and that is very kind."
lang1,13,Kogo teli kórumu izamimi.,ko-ko teli kórumu i-sami-mi,this 1PL.POSS classroom INAN-be-WIT,This is our classroom.
lang1,14,Zéreni dórumadórumagoo tegee sánomu ivézimimi.,zéreni dóruma-dóruma-ko-ERG te-ke-ERG sánomu i-vézimi-mi,many student-PL-DEF-ERG PL.SUBJ-ERG snack INAN-want-WIT,Many students want snacks.
lang1,15,Zéreni dórumadórumagoo tegee nóturu idézimimi.,zéreni dóruma-dóruma-ko-ERG te-ke-ERG nóturu i-dézimi-mi,many student-PL-DEF-ERG PL.SUBJ-ERG notebook INAN-need-WIT,Many students need a notebook.
lang1,16,Kómurugómuru ko tege hólurulu tógoru izamimi.,kómuru-gómuru ko te-ke hóluru-lu tógoru i-sami-mi,computer-PL 3PL.INAN PL.SUBJ helpful-ADJ tool INAN-be-WIT,Computers are helpful tools.
lang1,17,"Hére ni tegee izérimimi kege lórumalu, ni tegee nérili sórumu ugóruamugomo ivézimimi.","hére ni te-ke-ERG i-sérimi-mi ke-ke lóruma-li, ni te-ke-ERG nérili sórumu i-góruamu-ke-me i-vézimi-mi",while 1PL.INCL-PL.SUBJ-ERG INAN-learn-WIT this-ELAT language-ELAT 1PL.INCL-PL.SUBJ-ERG new-ADJ story INAN-create-FUT-DIR INAN-want-WIT,"As we learn this language, we want to create a new story."
lang1,18,"Hére ni tegee izérimimi kege lórumalu, zéreni dórumadórumagoo tegee nérili sórumu ivézimimi.","hére ni te-ke-ERG i-sérimi-mi ke-ke lóruma-li, zéreni dóruma-dóruma-ko-ERG te-ke-ERG nérili sórumu i-vézimi-mi",while 1PL.INCL-PL.SUBJ-ERG INAN-learn-WIT this-ELAT language-ELAT many student-PL-DEF-ERG PL.SUBJ-ERG new-ADJ story INAN-want-WIT,"As we learn this language, many students want new stories."
lang1,19,"Hére ni nili gérigéri tírimi kánaralu bóromumu, nie kogo uválumumu.","hére ni ni-li géri-géri tírimi kánara-lu bóromu-mi, ni-e ko-ko i-fálumu-mi","when 1SG 1SG-POSS friend-PL together karaoke-ILL go-WIT, 1SG-ERG this-DEF.NEAR INAN-enjoy-WIT","When I go to karaoke with my friends, I enjoy it."
lang1,20,Mínirige nie idórumumu nili súmurunu lúzumumu.,míniri-ko ni-o i-tórumu-mi ni-li súmuru-nu lúzumu-mu,laptop-DEF.NEAR 1SG-ERG INAN-use-WIT 1SG-POSS bed-INESS charge-WIT,The laptop that I used charged in my bed.
lang1,21,Dórumadórumagoo tegee uválumumu hére te múranulu fórumavórumalu bóromumu.,dóruma-dóruma-ko-o te-ke-ERG i-fálumu-mi hére te múranu-lu fóruma-fóruma-lu bóromu-mi,student-PL-DEF-ERG PL.SUBJ-ERG INAN-enjoy-WIT when 3PL.SUBJ free-ADJ event-PL-ILL go-WIT,The students enjoy when they go to free events.
lang1,22,Sagúra kírimigírimi ko tege lúmuralu izamimi.,sagúra kírimi-kírimi ko te-ke lúmura-lu i-sami-mi,cherry flower-PL 3PL.INAN PL.SUBJ beautiful-ADJ INAN-be-WIT,Cherry blossoms are beautiful.
lang1,23,Fúdurulu bórunulu vúlumugoo nólumulu bárumugo abúrumuvárumumu.,fúduru-lu bórunu-lu vúlumu-ko-o nólumu-lu bárumu-ko a-púrumu-fárumu-mi,quick-ADJ brown-ADJ fox-DEF-ERG lazy-ADJ dog-DEF.NEAR ANIM-jump-pass-WIT,The quick brown fox jumped over the lazy dog.
lang1,24,"Ni tegee dólumugomo, hére ni tegee dénidénili izérimidérimime.","ni te-ke-ERG dólumu-ke-me, hére ni te-ke-ERG déni-déni-li i-sérimi-dérimi-me","1PL.INCL PL.SUBJ-ERG ANIM-miss-FUT-DIR.EVID, when 1PL.INCL PL.SUBJ-ERG class-PL-ELAT INAN-study-finish-INFER.EVID",We will miss each other when we finish classes.
lang1,25,Zéreni dórumadórumagoo tege dénidénili nérimige ivérimigeme.,zéreni dóruma-dóruma-ko-o te-ke-ERG déni-déni-li nérimi-ko i-férumu-ke-me,many student-PL-DEF-ERG PL.SUBJ-ERG class-PL-ELAT end-DEF.NEAR INAN-celebrate-FUT-DIR.EVID,Many students will celebrate the end of classes.
lang1,26,Vánuguva vórumanu lúmuralu izamimi.,Vánuguva vóruma-nu lúmura-lu i-sami-mi,Vancouver spring-INESS beautiful-ADJ.INAN INAN-be-WIT,Vancouver is beautiful in spring.
lang1,27,Ni tegee nérimili teli véreni ugóruamugomo ilímirime.,ni te-ke-ERG nérimi-lu teli véreni i-góruamu-ke-me i-límiri-mi,1PL.INCL PL.SUBJ-ERG final-ADJ.INAN 1PL.POSS project INAN-create-FUT-DIR.EVID INAN-look.forward.to-WIT,We look forward to completing our capstone projects.
lang1,28,"Dórumadórumagoo tege zómurugolu lízera tórunudórunu izámine, górumula izamimi.","dóruma-dóruma-ko te-ke zómuru-ko-lu lízera tórunu-tórunu i-sami-ne-mi, górumu-la i-sami-mi","student-PL-DEF PL.SUBJ week-DEF-ILL OBJ.NEG quiz-PL INAN-be-NEG-WIT, grateful-ADJ.ANIM INAN-be-WIT","The students are grateful, as next week there are no quizzes."
lang1,29,Kogo teli pánuru izamimi.,ko-ko teli pánuru i-sami-mi,this 1PL.POSS library INAN-be-WIT,This is our library.
lang1,30,Zéreni dórumadórumagoo tegee móluru idézimimi.,zéreni dóruma-dóruma-ko-ERG te-ke-ERG móluru i-dézimi-mi,many student-PL-DEF-ERG PL.SUBJ-ERG dictionary INAN-need-WIT,Many students need a dictionary.
lang1,31,"Hére ni tegee izérimimi kege lórumalu, ni tegee nérili mánaru ugóruamugomo ivézimimi.","hére ni te-ke-ERG i-sérimi-mi ke-ke lóruma-li, ni te-ke-ERG nérili mánaru i-góruamu-ke-me i-vézimi-mi","while 1PL.INCL-PL.SUBJ-ERG INAN-learn-WIT this-ELAT language-ELAT, 1PL.INCL-PL.SUBJ-ERG new-ADJ song INAN-create-FUT-DIR INAN-want-WIT","As we learn this language, we want to create a new song."
lang1,32,"Hére ni nili gérigéri tírimi pánurulu bóromumu, nie kogo rélumu uválumumu.","hére ni ni-li géri-géri tírimi pánuru-lu bóromu-mi, ni-e ko-ko rélama i-fálumu-mi","when 1SG 1SG-POSS friend-PL together library-ILL go-WIT, 1SG-ERG this poem INAN-enjoy-WIT","When I go to the library with my friends, I enjoy this poem."
lang1,33,"Héré tímee ni agérimimi, kogo déni sélurulu izamimi.","héré tíme-ERG ni a-gérimi-mi, ko-ko déni séluru-lu i-sami-mi","if 2SG.FORMAL-ERG 1PL.INCL ANIM-help-WIT, this class easy-ADJ INAN-be-WIT","If you help us, this class is easier."
lang1,34,"Nie lizerage bórumu agóruamuzuzumu, hére tege inázimine.","ni-e lízera-ko bórumu a-góruamu-su-su-mi, hére te-ke i-názimi-ne","1SG-ERG OBJ-DEF offer ANIM-create-CAUS-CAUS-WIT, and 3SG-ERG INAN-refuse-NEG",I made him an offer he couldn't refuse.
lang1,35,"Lízera i-tálimi-mi ni-e tíme-ko xéliri i-sami-mi, vérizi-li nili.","lízera i-tálimi-mi ni-e tíme-ko xéliri i-sami-mi, vérizi-li ni-li","what INAN-speak-WIT 1SG-ERG 2SG.FORMAL-DEF true INAN-be-WIT, point.of.view-ELAT 1SG-POSS","What I told you was true, from my point of view."
lang1,36,Kege donubánulu izamimi há!,ke-ke donupánu-lu i-sam-i-mi há,this-DEF.NEAR museum-ILL INAN-be-PRES-WIT MIR,"This belongs in a museum!"" (Literal: ""This is into the museum, wow!"")"
lang1,37,Kogo múrumúru múranulu izamimi; bóħrunu múrumúru: sóluma múrunu tírimi.,ko-ko múru-múru múranu-lu i-sami-mi; bóhrunu múru-múru: sóluma múru-nu tírimi,3SG.INAN-DEF.NEAR eye-PL lifeless-ADJ INAN-be-WIT; black eye-PL; doll eye-INESS like,It has lifeless eyes; black eyes: like a doll's eyes.
lang1,38,Ni hérege izamige.,ni hére-ko i-sami-ke,1SG now-DEF.NEAR INAN-be-FUT,"I'll be right here."" (Literally: ""I now-at-this-spot will-be."")"
lang1,39,"Xérali, nili férigéri, nie kérimne udórumunomu!","xérali, ni-li férigéri, ni-e kérim-ne i-tórumu-ne-mi","frankly, 1SG-POSS beloved, 1SG-ERG damn-NEG INAN-give-NEG-WIT","Frankly, my dear, I don't give a damn!"
lang1,40,"Nididegee kege spórumu ibérimidérimimi, hére súmuralu bóromumu!","ni-ti-te-ke-e ke-ke spórumu i-périmi-dérimi-mi, hére súmura-lu bóromu-mi","1.INCL-3-PL-SUBJ-ERG this-DEF.NEAR stuff INAN-blow-finish-WIT, and home-ILL go-WIT",Let's blow this thing and go home!
lang1,41,"Hérege nie tímege ivérimami, dórumulu.","hére-ko ni-e tíme-ko i-vérima-mi, dórumu-li","here-DEF.NEAR 1SG-ERG 2SG.FORMAL-DEF INAN-look-WIT, kid-1SG.POSS","Here's looking at you, kid."" (Literal: ""Right here I look at you, my kid."")"
lang1,42,Sami hére samine -- kogo sélima,sami hére sami-ne -- ko-ko sélima,to.be or to.be-NEG -- this-DEF.NEAR rule/question,To be or not to be -- that is the question.
lang1,43,"Sélimi, glé, bóronu ivéridérimimi.","sélimi, glé, bóronu i-véri-dérimi-mi","life, [filler], way INAN-see-finish-WIT","Life, uh, finds a way."
lang1,44,"Teli zúradórumazuradórumagoo, uvárumu hére uvárumunomu zúra idézimimi, tene izéraline nérimi héré tege idézimimi.","teli zúradóruma-zuradóruma-ko-o, i-fárumu hére i-fárumu-ne-mi zúra i-dézimi-mi, te-ne i-sérali-ne nérimi héré te-ke idézimimi","2PL.POSS scholar-PL-DEF-ERG, INAN-can or INAN-can-NEG-WIT very INAN-need-WIT, 3PL.SUBJ-NEG INAN-reflect-NEG stop if 3PL.SUBJ-ERG INAN-should-WIT","Your scientists were so preoccupied with whether or not they could, they didn't stop to think if they should."
lang1,45,"Nérimidérima múranuzómudo mógozólumu, zúra férimala izamimi; mógo udólumumu, mógogo adólumumu.","nérimidérima múranusómut-o mógo-sélimi, zúra férimala i-sami-mi; mógo i-dólumu-mi, mógo-ko a-dólumu-mi","vestal pure-POSS world-fate, very happy INAN-be-WIT; world INAN-forget-WIT, world-DEF ANIM-forget-WIT","How happy is the blameless vestal's lot; the world forgetting, by the world forgot."
lang1,46,Teo názaluzo lúmuralu kírimi fórumalu uválumumu.,te-o názaluzo lúmura-lu kírimi fóruma-lu u-fálumu-mi 3,SG-ERG dance beautiful-ADJ flower event-ILL INAN-enjoy-WIT,She enjoyed dancing at the beautiful flower event.
lang1,47,"Vórumanu zeħrisni ishíynimi, hére lúmuralu izamimi.","vóruma-nu zeħris-nu i-shíyni-mi, hére lúmura-lu i-sami-mi s","pring-INESS mountain-INESS INAN-rain-WIT, and beautiful-ADJ INAN-be-WIT","In spring, it rains on the mountain, and it is beautiful."
lang1,48,"Hére nili gérigéri kánaralu bóromumu, nie pánurunu ielirízimimi.","hére ni-li géri-géri kánara-lu bóromu-mi, ni-e pánuru-nu i-elirízimi-mi ","while 1SG-POSS friend-PL karaoke-ILL go-WIT, 1SG-ERG library-INESS INAN-read-WIT",I read in the library while my friends went to karaoke.
lang1,49,"Nie nili dénidéni idérimimi, ni xórughuralu izamimi, hére nie órumo ivézimimi.","ni-e ni-li déni-déni i-dérimi-mi, ni xórughura-lu i-sami-mi, hére ni-e órumo i-vézimi-mi ","1SG-ERG 1SG-POSS class-PL INAN-finish-WIT, 1SG proud-ADJ INAN-be-WIT, but 1SG-ERG sleep INAN-want-WIT","I am proud that I finished my classes, but I want to sleep."
lang1,50,"Hére Vánuguvanu ijíynimi, ni nili súmurunu aóromomu.","hére Vánuguva-nu i-shíyni-mi, ni ni-li súmuru-nu a-órumo-mi ","when Vancouver-INESS INAN-rain-WIT, 1SG 1SG-POSS bed-INESS ANIM-sleep-WIT","When it rains in Vancouver, I sleep in my bed."
lang1,51,"Bóhrunu hárumago xóronuzámlu fudubóromumu, hére tórumodórumago abóromumu.","bóhrunu háruma-ko xóronu-sám-lu fudu-bóromu-mi, hére tórumo-dóruma-ko a-bóromu-mi","black man-DEF.NEAR desert-ILL quick-go-WIT, and hit-scholar-DEF.NEAR ANIM-go-WIT","The man in black fled across the desert, and the gunslinger followed."
lang1,52,"Mózugo, hére kádingéreí várivárili nériminedérimigeme — héré nérimigeme — ielirízimimi nie ufárumumu, héré lédali púda némimi xálonu shíynimi zíradárimimi uvózumu.","mózu-ko, hére kádi-hére-ú vári-vári-lu nérimi-ne-dérimi-ke-me — héré nérimi-ke-me — i-elirízimi-mi ni-e i-fárumu-mi, héré léda-li púda némi-mi xálo-nu shíynimi zúra-dárimi-mi i-vózu-mi","terror-DEF.NEAR, while score-and-eight year-ILL end-NEG-finish-FUT-INFER — if end-FUT-INFER — INAN-read-WIT 1SG-ERG INAN-can-WIT, with paper-ELAT boat float-WIT gutter-INESS rain very-grow-WIT INAN-begin-WIT","The terror, which would not end for another twenty-eight years — if it ever did end — began, so far as I know or can tell, with a boat made from a sheet of newspaper floating down a gutter swollen with rain."
lang1,53,"Dursluy máguzu hére Dursluy mágizi, vóru kérimini Privet Driveshni, xórughuralu idálimimi te tege zúra sólumalu izamimi, tímee teli gérimi zúra.","Dursley máguzu hére Dursley mágizi, vóru kérimi-nu Privet Drive-nu, xórughura-lu i-tálimi-mi te te-ke zúra sóluma-lu i-sami-mi, tíme-e teli gérimi zúra","Dursley Mr. and Mrs., four number-INESS Privet Drive-INESS, proud-ADJ INAN-speak-WIT 3PL PL.SUBJ very normal-ADJ INAN-be-WIT, 2SG.FORMAL-ERG 1PL.POSS help very","Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
lang1,54,Zérenirili férimala númagoo tege sámili izamimi; zérenirili férine núma vérizili nili férine izamimi.,zéreni-lu férimala núma-ko-o te-ke sámi-lu i-sami-mi; zéreniri-lu férine núma vérizi-li ni-li férine i-sami-mi,all-ADJ happy family-DEF-PL 3PL-PL.SUBJ same-ADJ INAN-be-WIT; each-ADJ unhappy family way-ELAT 3SG-POSS unhappy INAN-be-WIT,All happy families are alike; each unhappy family is unhappy in its own way.
lang1,55,Pozélimi dénidénili séradimi há!,po-sélimi déni-déni-li séradi-mi há,DUAL-day class-PL-ELAT REFL-remain-WIT MIR,Only 2 days of classes left!
lang1,56,Teli dóruva márali unórumugomo.,teli dóruva márali i-nórumu-ke-me,1PL.POSS program soon INAN-end-FUT-DIR.EVID,Our program will end soon.
